imdb_url,title,year,runtime,genre,rating,votes,plot
https://www.imdb.com/title/tt7229666/,Chhakka Panja 2,2017,138 min,"Comedy, Drama",6.6,290,Chhakka Panja 2 continues with new story of Raja and his friend at the village.
https://www.imdb.com/title/tt8393764/,Chhakka Panja 3,2018,,Comedy,6.3,96,"When she learns about the worst condition of the school, the headmaster's daughter decides to stay in the village to make it a better place."
https://www.imdb.com/title/tt7672868/,Intu Mintu Londonma,2018,120 min,Romance,7.3,71,"When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice."
https://www.imdb.com/title/tt10942220/,Kabaddi Kabaddi Kabaddi,2019,,"Comedy, Drama, Romance",8.6,9,Add a Plot
https://www.imdb.com/title/tt8387542/,Captain,2019,,"Drama, Sport",3.2,46,Father's dedication to guiding his son to becoming a better footballer.
https://www.imdb.com/title/tt8622286/,Bulbul,2019,95 min,Drama,7.1,18,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.
https://www.imdb.com/title/tt5225580/,Kabaddi Kabaddi,2015,135 min,"Comedy, Drama",7.9,343,Kaji dreams of marrying Maiya but things go wrong when Bamkaji returns to the village who also wants to marry Maiya.
https://www.imdb.com/title/tt8677256/,Nai Nabhannu La 2,2014,142 min,Romance,6.9,7,Add a Plot
https://www.imdb.com/title/tt7868256/,Saili,2019,140 min,"Drama, Romance",8.5,17,Add a Plot
https://www.imdb.com/title/tt1999130/,Death Zone: Cleaning Mount Everest,2018,99 min,"Documentary, Adventure, Drama",7.7,102,"A team of 20 elite Nepali climbers venture into the Death Zone of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people. They ascend the highest point on the planet to the 150 bodies of deceased climbers and 100,000 pounds of rubbish that remain on the high slopes of Everest. This is the self-documented story of their life-threatening journey."
https://www.imdb.com/title/tt8881326/,Jatrai Jatra,2019,,Comedy,8.2,52,The story begins from where it was ended in part 1. The three guys got out from the jail after serving three years of sentencing and they part their ways but they again fall in trap of greed. This time it is about a gold. There are many twist and turns.
https://www.imdb.com/title/tt0304435/,Muna Madan,2003,163 min,Drama,7,104,"An epic tragedy, based on Nepal's most famous epic poem. Madan, a lower-class worker, is forced by poverty and mounting debts to go to Lhasa, Tibet, leaving behind his lonely mother and beloved wife, Muna. However, tragedy befalls him on the way home."
https://www.imdb.com/title/tt3700482/,Jhola,2013,90 min,"Drama, History",7.7,249,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal."
https://www.imdb.com/title/tt6705126/,Prem Geet,2016,138 min,Romance,7.5,30,"Prem and Geet meet each other on the way to Kagbeni. Geet escaped from home because of her grandmother's continuous insistence to marry. Prem was on the way due to his personal deeds, but he was too pressurized to marry. Both fakes their marriage to get rid of continuous insistence, but ultimately fall in love then after. But their fake marriage creates problems and ultimately they are separated from each other. Both try to convince their parents, but fails.geet decided to die and she meet with prem .at last geet sucide and prem also decided to die ."
https://www.imdb.com/title/tt7786264/,Shatru Gate,2018,138 min,"Comedy, Drama",6.8,100,A wedding conflict between two families.
https://www.imdb.com/title/tt7676212/,Jhyanakuti,2017,138 min,"Comedy, Drama, Romance",8,27,A hilarious ride of a married couple n their adorable 8 months old baby boy. Beautiful Dhampus as It's set and majestic views and mountains as the backdrop.
https://www.imdb.com/title/tt3638644/,Seto Surya,2016,89 min,"Adventure, Drama",7.1,397,"Anti-regime partisan Chandra confronts physical, social and political obstacles for his father's funeral. His search for a solution takes him to neighboring mountain villages and encounters with the police and rebel guerrillas. A portrait of post-civil war Nepal during the fragile deadlocked peace process."
https://www.imdb.com/title/tt4991660/,Kalo Pothi,2015,90 min,"Action, Drama, History",7.2,466,"They are bonded, nonetheless, by friendship and affection for a hen, whose eggs just might make a difference to Prakash's impoverished family. When the boy's father sells the bird, the chums desperately attempt to raise funds in order to buy it back."
https://www.imdb.com/title/tt6944688/,A Mero Hajur 2,2017,138 min,"Drama, Romance",7.7,194,"A Man stalks a girl, after while they fall in love, but their relative don't want the girl to be with that man."
https://www.imdb.com/title/tt6160932/,Chhakka Panja,2016,130 min,"Comedy, Drama, Family",6.8,160,"Story of five friends Raja (Deepak Raj Giri), Saraswoti (Jeetu Nepal), Magne (Kedar Ghimire) and Buddhi (Buddhi Tamang). Raja is rich but illiterate and enjoys life, and tells his friends to not get married or hold any job. However, he secretly has affairs with married women.Then one day Raja gets married to Champa (Priyanka Karki), and the story enters a serious mode."
https://www.imdb.com/title/tt3696800/,Kabaddi,2014,123 min,"Comedy, Drama, Romance",8.2,434,"Kazi a young aimless man dreams of marrying Maiya, a village girl by any means although she wants to go to the city for higher education. Their lives are thrown into turmoil with the arrival of Bibek, a charming young man from the city."
https://www.imdb.com/title/tt8885872/,Password,2019,125 min,,,,Add a Plot
https://www.imdb.com/title/tt8289002/,Jai Bhole,2018,138 min,Comedy,6,20,Friendship between two people and love.
https://www.imdb.com/title/tt5691226/,Pashupati Prasad,2016,140 min,"Drama, Romance",8.8,1,When a man named Pashuati comes to Kathmandu to pay his father loans while in Kathmandu he discovers Pashupatinath where he fights the danger of Kathmandu.
https://www.imdb.com/title/tt8848374/,Daal Bhat Tarkari,2019,,Comedy,2.2,19,Add a Plot
